country,consumption,density,lat,lon
malawi,0.586818143,1,-14.803485,35.049652
malawi,0.587935149,1,-15.431764,35.003062
malawi,0.588092301,1,-15.684889,35.583213
malawi,0.588132276,1,-11.766983,34.05228
malawi,0.588378212,1,-13.776575,34.403131
malawi,0.588763878,1,-16.029948,35.410465
malawi,0.589154499,1,-13.572201,32.859582
malawi,0.589360793,1,-15.726059,35.710228
malawi,0.590148094,1,-16.020639,35.448207
malawi,0.590392552,1,-13.334414,33.993416
malawi,0.590479434,1,-15.753062,35.287326
malawi,0.590612562,1,-15.035595,35.513982
malawi,0.591595929,1,-9.507538,33.259649
malawi,0.591911753,1,-16.33911,35.274649
malawi,0.59233914,1,-14.860188,35.551947
malawi,0.592517168,1,-15.805679,35.546449
malawi,0.592597274,1,-13.31979,33.764741
malawi,0.593150392,1,-15.427582,34.825967
malawi,0.59333401,1,-15.574928,35.124925
malawi,0.594321456,1,-16.096666,34.975852
malawi,0.594584464,1,-10.32619,33.717783
malawi,0.594608576,1,-13.423027,34.097944
malawi,0.594724628,1,-13.31979,33.764741
malawi,0.595859966,1,-14.079133,34.532966
malawi,0.596316381,1,-15.403323,34.682855
malawi,0.596574494,1,-15.553168,35.64588
malawi,0.596873298,1,-12.903751,34.270026
malawi,0.597993418,1,-16.226333,34.824941
malawi,0.598386557,1,-13.052256,34.245021
malawi,0.59859057,1,-15.22401,35.203621
malawi,0.598607399,1,-14.60574,35.734273
malawi,0.599005786,1,-14.055466,34.244042
malawi,0.59903511,1,-16.826165,35.269503
malawi,0.59966363,1,-10.002351,33.932955
malawi,0.60017058,1,-16.119842,35.561699
malawi,0.600192698,1,-16.043878,35.6054
malawi,0.600768387,1,-13.319855,34.074362
malawi,0.601589036,1,-13.102273,34.285371
malawi,0.602117987,1,-14.272959,35.256432
malawi,0.602231417,1,-15.875918,35.555916
malawi,0.602412922,1,-16.321642,34.76847
malawi,0.6024175,1,-14.860188,35.551947
malawi,0.603874595,1,-16.308801,35.149457
malawi,0.605298357,1,-15.80194,35.297593
malawi,0.605659842,1,-15.836097,35.616962
malawi,0.605724862,1,-16.119289,35.381973
malawi,0.60610967,1,-14.157104,33.551782
malawi,0.606376077,1,-14.100208,34.235927
malawi,0.607418228,1,-15.766944,35.208484
malawi,0.607429395,1,-15.627924,35.672782
malawi,0.607578598,1,-15.338709,35.394991
malawi,0.607841179,1,-9.821687,33.400393
malawi,0.608327547,1,-16.472382,35.132391
malawi,0.609338159,1,-14.252291,33.724729
malawi,0.609495277,1,-15.395239,34.714624
malawi,0.609974248,0,-15.401425,35.336762
malawi,0.610149883,1,-13.175196,33.80253
malawi,0.610228191,1,-15.916279,35.384048
malawi,0.611490746,1,-16.196075,35.208329
malawi,0.611964943,1,-15.442607,35.295281
malawi,0.612840336,1,-13.779716,34.32197
malawi,0.612882637,1,-10.32619,33.717783
malawi,0.613027912,1,-14.147413,34.072092
malawi,0.613435333,1,-15.877739,35.351154
malawi,0.613852568,1,-13.514585,34.282768
malawi,0.614506303,1,-15.875918,35.555916
malawi,0.615137123,1,-12.690471,33.427711
malawi,0.615427025,1,-14.272959,35.256432
malawi,0.615444338,1,-15.915619,34.404055
malawi,0.615468916,1,-16.956385,35.168967
malawi,0.615553584,1,-12.023432,33.985497
malawi,0.61556331,1,-13.365946,33.737434
malawi,0.615833117,1,-15.804177,35.793425
malawi,0.616448388,1,-16.465764,34.828724
malawi,0.61661016,1,-13.870775,33.394422
malawi,0.61667217,1,-15.663807,34.621782
malawi,0.618443288,1,-14.544524,34.533248
malawi,0.619220628,1,-16.081528,34.529636
malawi,0.619239935,1,-10.442679,34.101839
malawi,0.619520446,1,-13.572201,32.859582
malawi,0.619543779,1,-15.582173,35.835835
malawi,0.619726157,1,-15.835268,35.167445
malawi,0.620648811,1,-15.73134,35.566626
malawi,0.620752898,1,-15.553168,35.64588
malawi,0.62079949,1,-13.552698,34.315225
malawi,0.621092758,1,-13.628619,33.495548
malawi,0.621122478,1,-13.725164,35.039178
malawi,0.621228485,1,-16.108243,35.110525
malawi,0.621386827,1,-15.875918,35.555916
malawi,0.621480917,1,-14.219633,35.025718
malawi,0.621719813,1,-15.621164,35.013099
malawi,0.622007552,1,-13.045424,34.323395
malawi,0.623145998,1,-17.09515,35.217213
malawi,0.623696654,1,-15.432665,35.552417
malawi,0.623948772,1,-14.616051,35.313813
malawi,0.624297679,1,-12.903751,34.270026
malawi,0.624641407,1,-14.835844,35.565399
malawi,0.625005801,1,-16.956385,35.168967
malawi,0.625051901,1,-15.726059,35.710228
malawi,0.625353952,1,-15.22401,35.203621
malawi,0.625411621,1,-15.752852,35.781488
malawi,0.625844272,1,-13.334414,33.993416
malawi,0.626401197,1,-16.483227,35.240196
malawi,0.626548877,1,-15.451516,34.464556
malawi,0.62700689,1,-15.282556,34.70229
malawi,0.627522059,1,-14.659798,34.677474
malawi,0.627564088,1,-15.671589,35.200021
malawi,0.627865484,1,-13.505623,33.83564
malawi,0.62891635,1,-15.804177,35.793425
malawi,0.62995817,1,-13.846168,34.585541
malawi,0.63015555,1,-14.846656,34.70755
malawi,0.630334521,1,-14.966727,35.676864
malawi,0.630342643,1,-16.472382,35.132391
malawi,0.630355747,1,-9.507538,33.259649
malawi,0.630962174,1,-13.226167,33.74038
malawi,0.631168241,1,-14.252291,33.724729
malawi,0.631302614,1,-15.752852,35.781488
malawi,0.631404947,1,-14.393188,33.934806
malawi,0.63145876,1,-15.331859,35.457338
malawi,0.631636063,1,-15.875918,35.555916
malawi,0.632329953,1,-14.986768,35.462909
malawi,0.632379265,1,-16.029948,35.410465
malawi,0.633298832,1,-9.693834,33.384991
malawi,0.633419376,1,-13.779716,34.32197
malawi,0.6334319,1,-15.65929,35.6434
malawi,0.633610085,1,-13.819115,33.174092
malawi,0.63373943,1,-14.966727,35.676864
malawi,0.633922095,1,-16.099412,35.303969
malawi,0.634614309,1,-15.916279,35.384048
malawi,0.634789491,1,-15.73134,35.566626
malawi,0.634955512,1,-12.68101,33.80395
malawi,0.636330077,1,-13.780298,34.294294
malawi,0.636975805,1,-14.127521,33.662751
malawi,0.637650418,1,-14.965719,35.616284
malawi,0.638015916,1,-15.663807,34.621782
malawi,0.638439139,1,-15.634718,35.531409
malawi,0.639068989,1,-13.851904,34.529105
malawi,0.639273304,1,-15.598949,34.517429
malawi,0.639603189,1,-16.096666,34.975852
malawi,0.639718428,1,-14.687752,35.569097
malawi,0.639722588,1,-16.737738,35.242437
malawi,0.639754677,1,-15.289466,35.201186
malawi,0.640542733,1,-14.344464,34.009088
malawi,0.641104795,0,-13.352253,33.922143
malawi,0.641726442,1,-13.505623,33.83564
malawi,0.642124693,1,-15.545205,35.823627
malawi,0.642179896,1,-13.881585,34.356424
malawi,0.642622252,1,-13.895495,34.491033
malawi,0.642727566,1,-16.108243,35.110525
malawi,0.645040766,1,-15.779582,35.559395
malawi,0.645315141,1,-13.987618,33.471434
malawi,0.645331774,1,-14.095697,34.168091
malawi,0.646031868,1,-15.055065,34.919847
malawi,0.646187104,1,-14.662478,35.026911
malawi,0.646404757,1,-12.375627,33.719306
malawi,0.64652979,1,-15.572013,35.303079
malawi,0.646955053,1,-15.627924,35.672782
malawi,0.647158597,1,-13.045424,34.323395
malawi,0.647302043,1,-16.33911,35.274649
malawi,0.647634117,1,-12.356494,34.016562
malawi,0.647883832,1,-9.429667,33.022118
malawi,0.648052769,1,-16.956385,35.168967
malawi,0.648525291,1,-15.915619,34.404055
malawi,0.648721309,1,-13.851904,34.529105
malawi,0.64892268,1,-13.397418,34.265175
malawi,0.649565732,1,-15.494491,34.674153
malawi,0.649677172,1,-17.016698,35.079629
malawi,0.65100276,1,-15.57871,35.603459
malawi,0.651248792,1,-14.344464,34.009088
malawi,0.651312697,1,-13.728265,33.301121
malawi,0.651361187,1,-12.314757,33.431981
malawi,0.651491374,1,-14.100208,34.235927
malawi,0.651826339,1,-15.061635,35.098917
malawi,0.651923366,1,-15.790143,35.411892
malawi,0.652205237,1,-16.139062,35.151528
malawi,0.653018435,1,-11.196191,33.965921
malawi,0.653376376,1,-14.344464,34.009088
malawi,0.653567022,1,-17.016698,35.079629
malawi,0.655459118,1,-15.851081,35.249045
malawi,0.656050689,1,-13.605708,34.138884
malawi,0.656393274,1,-13.345048,34.124701
malawi,0.656419111,1,-15.790143,35.411892
malawi,0.656555614,1,-16.506757,35.151249
malawi,0.656612298,1,-13.29812,34.107571
malawi,0.65768832,1,-15.804177,35.793425
malawi,0.658037728,1,-16.028061,34.805825
malawi,0.658517378,1,-13.222906,33.832923
malawi,0.658992949,1,-16.081528,34.529636
malawi,0.659573745,1,-15.549261,35.225079
malawi,0.659811432,1,-15.595224,34.525479
